state,geoid,county,year,pollutant,report_id
Nevada Counties,32009,"Esmeralda County, NV",2060,2,028160345
New Hampshire Counties,33013,"Merrimack County, NH",2005,98,016851921
New Hampshire Counties,33009,"Grafton County, NH",2035,110,079985524
New Jersey Counties,34013,"Essex County, NJ",2040,2,076990284
New Jersey Counties,34035,"Somerset County, NJ",2010,2,086881088
New Mexico Counties,35039,"Rio Arriba County, NM",2030,98,044385293
New Mexico Counties,35049,"Santa Fe County, NM",2005,100,035374833
New York Counties,36123,"Yates County, NY",2060,2,021923668
New York Counties,36077,"Otsego County, NY",2035,100,024535903
North Carolina Counties,37013,"Beaufort County, NC",2055,110,053313359
North Carolina Counties,37085,"Harnett County, NC",2010,3,072016986
North Dakota Counties,38045,"LaMoure County, ND",2055,2,062037840
North Dakota Counties,38005,"Benson County, ND",2045,31,005080543
Ohio Counties,39051,"Fulton County, OH",2005,31,099527282
Ohio Counties,39121,"Noble County, OH",2030,100,041429266
Oklahoma Counties,40115,"Ottawa County, OK",2005,31,035455159
Oklahoma Counties,40135,"Sequoyah County, OK",2015,3,006083496
Oregon Counties,41035,"Klamath County, OR",2005,100,089325520
Oregon Counties,41037,"Lake County, OR",2045,3,002742305
Pennsylvania Counties,42111,"Somerset County, PA",2060,31,069879265
Pennsylvania Counties,42085,"Mercer County, PA",2060,98,084491860
Rhode Island Counties,44005,"Newport County, RI",2010,3,047162944
Rhode Island Counties,44009,"Washington County, RI",2005,3,012227067
South Carolina Counties,45013,"Beaufort County, SC",2045,110,069655270
South Carolina Counties,45069,"Marlboro County, SC",2035,98,078446302
South Dakota Counties,46065,"Hughes County, SD",2040,100,016372474
South Dakota Counties,46117,"Stanley County, SD",2010,100,098705006
Tennessee Counties,47099,"Lawrence County, TN",2055,98,018145960
Tennessee Counties,47109,"McNairy County, TN",2050,3,013506636
Texas Counties,48009,"Archer County, TX",2030,31,058109463
Texas Counties,48225,"Houston County, TX",2010,100,069230375
Utah Counties,49025,"Kane County, UT",2060,3,067122908
Utah Counties,49011,"Davis County, UT",2020,87,012046576
Vermont Counties,50005,"Caledonia County, VT",2040,3,095376567
Vermont Counties,50025,"Windham County, VT",2055,2,036862437
Virginia Counties,51580,"Covington city, Virginia County, VA",2015,3,075624175
Virginia Counties,51510,"Alexandria city, Virginia County, VA",2045,2,087668256
Washington Counties,53011,"Clark County, WA",2050,110,075172891
Washington Counties,53005,"Benton County, WA",2050,3,089713177
West Virginia Counties,54023,"Grant County, WV",2045,87,016043533
West Virginia Counties,54021,"Gilmer County, WV",2040,87,040365956
Wisconsin Counties,55089,"Ozaukee County, WI",2000,2,051271176
Wisconsin Counties,55017,"Chippewa County, WI",2040,87,026083862
Wyoming Counties,56005,"Campbell County, WY",2025,100,040610971
Wyoming Counties,56043,"Washakie County, WY",2060,100,056881650
