report_id,key,value,metric,graph,aggregation
002856560,pop-line-overall,Population Overall over Time,pop,line,overall
002856560,hoteld-line-sourcecar,Hotelling (Diesel Aux) over Time for Passenger Vehicles,hoteld,line,sourcecar
002856560,pop-map-upper,Population in My Region,pop,map,upper
002856560,pop-map-lower,Population Mapped by Area,pop,map,lower
002856560,ratevmt-multiline-sourcetype,Emissions Rate (per mile) by Vehicle Type over Time,ratevmt,multiline,sourcetype
002856560,hoteld-multiline-regclass,Hotelling (Diesel Aux) by Regulatory Class over Time,hoteld,multiline,regclass
002856560,vmt-rank,Areas Ranked by Vehicle Miles Traveled,vmt,rank,profile
002856560,pop-rank,Areas Ranked by Population,pop,rank,profile
003665618,starts-donut-regclass,Vehicle Starts by Regulatory Class,starts,donut,regclass
003665618,vmt-donut-overall,Vehicle Miles Traveled Overall by Area,vmt,donut,overall
003665618,ratepop-line-overall,Emissions Rate (per capita) Overall over Time,ratepop,line,overall
003665618,ratepop-line-sourcecar,Emissions Rate (per capita) over Time for Passenger Vehicles,ratepop,line,sourcecar
003665618,hoteld-map-lower,Hotelling (Diesel Aux) Mapped by Area,hoteld,map,lower
003665618,ratevehicles-map-upper,Emissions Rate (per vehicle) in My Region,ratevehicles,map,upper
003665618,idlehours-multiline-sourcetype,Idling by Vehicle Type over Time,idlehours,multiline,sourcetype
003665618,vmt-multiline-roadtype,Vehicle Miles Traveled by Road Type over Time,vmt,multiline,roadtype
003665618,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
003665618,ratevmt-rank,Areas Ranked by Emissions Rate (per mile),ratevmt,rank,profile
005080543,hoteld-donut-overall,Hotelling (Diesel Aux) Overall by Area,hoteld,donut,overall
005080543,pop-donut-fueltype,Population by Fuel Type,pop,donut,fueltype
005080543,ratepop-line-sourcecar,Emissions Rate (per capita) over Time for Passenger Vehicles,ratepop,line,sourcecar
005080543,ratevmt-line-sourcebus,Emissions Rate (per mile) over Time for Buses,ratevmt,line,sourcebus
005080543,sourcehours-map-upper,Time Driven in My Region,sourcehours,map,upper
005080543,vehicles-map-upper,Vehicles in My Region,vehicles,map,upper
005080543,vmt-multiline-roadtype,Vehicle Miles Traveled by Road Type over Time,vmt,multiline,roadtype
005080543,ratevmt-multiline-roadtype,Emissions Rate (per mile) by Road Type over Time,ratevmt,multiline,roadtype
005080543,hoteld-rank,Areas Ranked by Hotelling (Diesel Aux),hoteld,rank,profile
005080543,pop-rank,Areas Ranked by Population,pop,rank,profile
006083496,starts-donut-sourcetype,Vehicle Starts by Vehicle Type,starts,donut,sourcetype
006083496,hotelo-donut-roadtype,Hotelling (Engines Off) by Road Type,hotelo,donut,roadtype
006083496,hotelo-line-sourcebus,Hotelling (Engines Off) over Time for Buses,hotelo,line,sourcebus
006083496,emissions-line-overall,Emissions Overall over Time,emissions,line,overall
006083496,vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
006083496,ratepop-map-lower,Emissions Rate (per capita) Mapped by Area,ratepop,map,lower
006083496,hoteld-multiline-fueltype,Hotelling (Diesel Aux) by Fuel Type over Time,hoteld,multiline,fueltype
006083496,pop-multiline-overall,Population by Area over Time,pop,multiline,overall
006083496,ratevmt-rank,Areas Ranked by Emissions Rate (per mile),ratevmt,rank,profile
006083496,starts-rank,Areas Ranked by Vehicle Starts,starts,rank,profile
007888765,ratevehicles-donut-overall,Emissions Rate (per vehicle) Overall by Area,ratevehicles,donut,overall
007888765,pop-donut-roadtype,Population by Road Type,pop,donut,roadtype
007888765,vmt-line-overall,Vehicle Miles Traveled Overall over Time,vmt,line,overall
007888765,vehicles-line-sourcebus,Vehicles over Time for Buses,vehicles,line,sourcebus
007888765,idlehours-map-upper,Idling in My Region,idlehours,map,upper
007888765,ratepop-map-lower,Emissions Rate (per capita) Mapped by Area,ratepop,map,lower
007888765,vehicles-multiline-sourcetype,Vehicles by Vehicle Type over Time,vehicles,multiline,sourcetype
007888765,hotelo-multiline-overall,Hotelling (Engines Off) by Area over Time,hotelo,multiline,overall
007888765,pop-rank,Areas Ranked by Population,pop,rank,profile
007888765,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
010989810,pop-donut-regclass,Population by Regulatory Class,pop,donut,regclass
010989810,hotelo-donut-overall,Hotelling (Engines Off) Overall by Area,hotelo,donut,overall
010989810,ratevehicles-line-sourcebus,Emissions Rate (per vehicle) over Time for Buses,ratevehicles,line,sourcebus
010989810,pop-line-sourcecar,Population over Time for Passenger Vehicles,pop,line,sourcecar
010989810,vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
010989810,pop-map-lower,Population Mapped by Area,pop,map,lower
010989810,starts-multiline-sourcetype,Vehicle Starts by Vehicle Type over Time,starts,multiline,sourcetype
010989810,sourcehours-multiline-sourcetype,Time Driven by Vehicle Type over Time,sourcehours,multiline,sourcetype
010989810,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
010989810,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
012046576,ratepop-donut-regclass,Emissions Rate (per capita) by Regulatory Class,ratepop,donut,regclass
012046576,idlehours-donut-regclass,Idling by Regulatory Class,idlehours,donut,regclass
012046576,idlehours-line-sourcecar,Idling over Time for Passenger Idling,idlehours,line,sourcecar
012046576,sourcehours-line-sourcebus,Time Driven over Time for Buses,sourcehours,line,sourcebus
012046576,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
012046576,ratepop-map-upper,Emissions Rate (per capita) in My Region,ratepop,map,upper
012046576,sourcehours-multiline-sourcetype,Time Driven by Vehicle Type over Time,sourcehours,multiline,sourcetype
012046576,pop-multiline-fueltype,Population by Fuel Type over Time,pop,multiline,fueltype
012046576,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
012046576,ratevehicles-rank,Areas Ranked by Emissions Rate (per vehicle),ratevehicles,rank,profile
012227067,pop-donut-overall,Population Overall by Area,pop,donut,overall
012227067,pop-donut-regclass,Population by Regulatory Class,pop,donut,regclass
012227067,hotelo-line-sourcecar,Hotelling (Engines Off) over Time for Passenger Vehicles,hotelo,line,sourcecar
012227067,idlehours-line-overall,Idling Overall over Time,idlehours,line,overall
012227067,hotelo-map-lower,Hotelling (Engines Off) Mapped by Area,hotelo,map,lower
012227067,emissions-map-lower,Emissions Mapped by Area,emissions,map,lower
012227067,emissions-multiline-roadtype,Emissions by Road Type over Time,emissions,multiline,roadtype
012227067,ratevmt-multiline-fueltype,Emissions Rate (per mile) by Fuel Type over Time,ratevmt,multiline,fueltype
012227067,idlehours-rank,Areas Ranked by Idling,idlehours,rank,profile
012227067,ratepop-rank,Areas Ranked by Emissions Rate (per capita),ratepop,rank,profile
012732101,ratevehicles-donut-overall,Emissions Rate (per vehicle) Overall by Area,ratevehicles,donut,overall
012732101,pop-donut-roadtype,Population by Road Type,pop,donut,roadtype
012732101,ratepop-line-overall,Emissions Rate (per capita) Overall over Time,ratepop,line,overall
012732101,hoteld-line-sourcecar,Hotelling (Diesel Aux) over Time for Passenger Vehicles,hoteld,line,sourcecar
012732101,hoteld-map-lower,Hotelling (Diesel Aux) Mapped by Area,hoteld,map,lower
012732101,starts-map-lower,Vehicle Starts Mapped by Area,starts,map,lower
012732101,hoteld-multiline-regclass,Hotelling (Diesel Aux) by Regulatory Class over Time,hoteld,multiline,regclass
012732101,starts-multiline-roadtype,Vehicle Starts by Road Type over Time,starts,multiline,roadtype
012732101,ratepop-rank,Areas Ranked by Emissions Rate (per capita),ratepop,rank,profile
012732101,pop-rank,Areas Ranked by Population,pop,rank,profile
013159199,hotelo-donut-overall,Hotelling (Engines Off) Overall by Area,hotelo,donut,overall
013159199,hoteld-donut-overall,Hotelling (Diesel Aux) Overall by Area,hoteld,donut,overall
013159199,vmt-line-sourcebus,Vehicle Miles Traveled over Time for Buses,vmt,line,sourcebus
013159199,ratepop-line-sourcebus,Emissions Rate (per capita) over Time for Buses,ratepop,line,sourcebus
013159199,ratevehicles-map-lower,Emissions Rate (per vehicle) Mapped by Area,ratevehicles,map,lower
013159199,idlehours-map-lower,Idling Mapped by Area,idlehours,map,lower
013159199,sourcehours-multiline-regclass,Time Driven by Regulatory Class over Time,sourcehours,multiline,regclass
013159199,vehicles-multiline-roadtype,Vehicles by Road Type over Time,vehicles,multiline,roadtype
013159199,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
013159199,pop-rank,Areas Ranked by Population,pop,rank,profile
013506636,ratevmt-donut-fueltype,Emissions Rate (per mile) by Fuel Type,ratevmt,donut,fueltype
013506636,ratepop-donut-regclass,Emissions Rate (per capita) by Regulatory Class,ratepop,donut,regclass
013506636,starts-line-overall,Vehicle Starts Overall over Time,starts,line,overall
013506636,emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
013506636,ratevmt-map-lower,Emissions Rate (per mile) Mapped by Area,ratevmt,map,lower
013506636,pop-map-upper,Population in My Region,pop,map,upper
013506636,starts-multiline-roadtype,Vehicle Starts by Road Type over Time,starts,multiline,roadtype
013506636,ratevehicles-multiline-overall,Emissions Rate (per vehicle) by Area over Time,ratevehicles,multiline,overall
013506636,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
013506636,starts-rank,Areas Ranked by Vehicle Starts,starts,rank,profile
013706429,starts-donut-sourcetype,Vehicle Starts by Vehicle Type,starts,donut,sourcetype
013706429,sourcehours-donut-overall,Time Driven Overall by Area,sourcehours,donut,overall
013706429,emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
013706429,emissions-line-overall,Emissions Overall over Time,emissions,line,overall
013706429,ratevmt-map-upper,Emissions Rate (per mile) in My Region,ratevmt,map,upper
013706429,ratevehicles-map-upper,Emissions Rate (per vehicle) in My Region,ratevehicles,map,upper
013706429,hotelo-multiline-sourcetype,Hotelling (Engines Off) by Vehicle Type over Time,hotelo,multiline,sourcetype
013706429,ratevmt-multiline-fueltype,Emissions Rate (per mile) by Fuel Type over Time,ratevmt,multiline,fueltype
013706429,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
013706429,vmt-rank,Areas Ranked by Vehicle Miles Traveled,vmt,rank,profile
014025109,pop-donut-fueltype,Population by Fuel Type,pop,donut,fueltype
014025109,emissions-donut-regclass,Emissions by Regulatory Class,emissions,donut,regclass
014025109,ratepop-line-sourcecar,Emissions Rate (per capita) over Time for Passenger Vehicles,ratepop,line,sourcecar
014025109,starts-line-overall,Vehicle Starts Overall over Time,starts,line,overall
014025109,pop-map-upper,Population in My Region,pop,map,upper
014025109,ratevehicles-map-upper,Emissions Rate (per vehicle) in My Region,ratevehicles,map,upper
014025109,hoteld-multiline-regclass,Hotelling (Diesel Aux) by Regulatory Class over Time,hoteld,multiline,regclass
014025109,emissions-multiline-roadtype,Emissions by Road Type over Time,emissions,multiline,roadtype
014025109,pop-rank,Areas Ranked by Population,pop,rank,profile
014025109,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
014551614,hoteld-donut-fueltype,Hotelling (Diesel Aux) by Fuel Type,hoteld,donut,fueltype
014551614,hotelo-donut-sourcetype,Hotelling (Engines Off) by Vehicle Type,hotelo,donut,sourcetype
014551614,hotelo-line-sourcebus,Hotelling (Engines Off) over Time for Buses,hotelo,line,sourcebus
014551614,pop-line-sourcecar,Population over Time for Passenger Vehicles,pop,line,sourcecar
014551614,idlehours-map-upper,Idling in My Region,idlehours,map,upper
014551614,emissions-map-lower,Emissions Mapped by Area,emissions,map,lower
014551614,ratevehicles-multiline-overall,Emissions Rate (per vehicle) by Area over Time,ratevehicles,multiline,overall
014551614,idlehours-multiline-roadtype,Idling by Road Type over Time,idlehours,multiline,roadtype
014551614,vehicles-rank,Areas Ranked by Vehicles,vehicles,rank,profile
014551614,ratepop-rank,Areas Ranked by Emissions Rate (per capita),ratepop,rank,profile
015064653,ratevehicles-donut-regclass,Emissions Rate (per vehicle) by Regulatory Class,ratevehicles,donut,regclass
015064653,ratevmt-donut-roadtype,Emissions Rate (per mile) by Road Type,ratevmt,donut,roadtype
015064653,ratevehicles-line-overall,Emissions Rate (per vehicle) Overall over Time,ratevehicles,line,overall
015064653,emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
015064653,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
015064653,ratevehicles-map-lower,Emissions Rate (per vehicle) Mapped by Area,ratevehicles,map,lower
015064653,sourcehours-multiline-roadtype,Time Driven by Road Type over Time,sourcehours,multiline,roadtype
015064653,ratevmt-multiline-regclass,Emissions Rate (per mile) by Regulatory Class over Time,ratevmt,multiline,regclass
015064653,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
015064653,starts-rank,Areas Ranked by Vehicle Starts,starts,rank,profile
015264286,ratepop-donut-roadtype,Emissions Rate (per capita) by Road Type,ratepop,donut,roadtype
015264286,hoteld-donut-overall,Hotelling (Diesel Aux) Overall by Area,hoteld,donut,overall
015264286,vmt-line-sourcecar,Vehicle Miles Traveled over Time for Passenger Vehicles,vmt,line,sourcecar
015264286,hotelo-line-overall,Hotelling (Engines Off) Overall over Time,hotelo,line,overall
015264286,sourcehours-map-lower,Time Driven Mapped by Area,sourcehours,map,lower
015264286,ratepop-map-upper,Emissions Rate (per capita) in My Region,ratepop,map,upper
015264286,idlehours-multiline-fueltype,Idling by Fuel Type over Time,idlehours,multiline,fueltype
015264286,ratepop-multiline-fueltype,Emissions Rate (per capita) by Fuel Type over Time,ratepop,multiline,fueltype
015264286,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
015264286,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
016043533,starts-donut-roadtype,Vehicle Starts by Road Type,starts,donut,roadtype
016043533,ratepop-donut-fueltype,Emissions Rate (per capita) by Fuel Type,ratepop,donut,fueltype
016043533,hoteld-line-sourcebus,Hotelling (Diesel Aux) over Time for Buses,hoteld,line,sourcebus
016043533,emissions-line-sourcebus,Emissions over Time for Buses,emissions,line,sourcebus
016043533,ratepop-map-upper,Emissions Rate (per capita) in My Region,ratepop,map,upper
016043533,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
016043533,emissions-multiline-roadtype,Emissions by Road Type over Time,emissions,multiline,roadtype
016043533,idlehours-multiline-sourcetype,Idling by Vehicle Type over Time,idlehours,multiline,sourcetype
016043533,idlehours-rank,Areas Ranked by Idling,idlehours,rank,profile
016043533,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
016088968,pop-donut-fueltype,Population by Fuel Type,pop,donut,fueltype
016088968,hoteld-donut-regclass,Hotelling (Diesel Aux) by Regulatory Class,hoteld,donut,regclass
016088968,idlehours-line-overall,Idling Overall over Time,idlehours,line,overall
016088968,ratevehicles-line-overall,Emissions Rate (per vehicle) Overall over Time,ratevehicles,line,overall
016088968,hotelo-map-upper,Hotelling (Engines Off) in My Region,hotelo,map,upper
016088968,vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
016088968,sourcehours-multiline-sourcetype,Time Driven by Vehicle Type over Time,sourcehours,multiline,sourcetype
016088968,ratevehicles-multiline-regclass,Emissions Rate (per vehicle) by Regulatory Class over Time,ratevehicles,multiline,regclass
016088968,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
016088968,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
016372474,starts-donut-roadtype,Vehicle Starts by Road Type,starts,donut,roadtype
016372474,hoteld-donut-fueltype,Hotelling (Diesel Aux) by Fuel Type,hoteld,donut,fueltype
016372474,ratepop-line-sourcecar,Emissions Rate (per capita) over Time for Passenger Vehicles,ratepop,line,sourcecar
016372474,starts-line-sourcecar,Vehicle Starts over Time for Passenger Vehicle Starts,starts,line,sourcecar
016372474,hotelo-map-upper,Hotelling (Engines Off) in My Region,hotelo,map,upper
016372474,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
016372474,idlehours-multiline-roadtype,Idling by Road Type over Time,idlehours,multiline,roadtype
016372474,hoteld-multiline-roadtype,Hotelling (Diesel Aux) by Road Type over Time,hoteld,multiline,roadtype
016372474,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
016372474,vmt-rank,Areas Ranked by Vehicle Miles Traveled,vmt,rank,profile
016746607,hoteld-donut-roadtype,Hotelling (Diesel Aux) by Road Type,hoteld,donut,roadtype
016746607,vehicles-donut-overall,Vehicles Overall by Area,vehicles,donut,overall
016746607,idlehours-line-overall,Idling Overall over Time,idlehours,line,overall
016746607,hoteld-line-overall,Hotelling (Diesel Aux) Overall over Time,hoteld,line,overall
016746607,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
016746607,ratepop-map-lower,Emissions Rate (per capita) Mapped by Area,ratepop,map,lower
016746607,vehicles-multiline-overall,Vehicles by Area over Time,vehicles,multiline,overall
016746607,idlehours-multiline-roadtype,Idling by Road Type over Time,idlehours,multiline,roadtype
016746607,ratevehicles-rank,Areas Ranked by Emissions Rate (per vehicle),ratevehicles,rank,profile
016746607,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
016851921,hotelo-donut-fueltype,Hotelling (Engines Off) by Fuel Type,hotelo,donut,fueltype
016851921,emissions-donut-regclass,Emissions by Regulatory Class,emissions,donut,regclass
016851921,vehicles-line-overall,Vehicles Overall over Time,vehicles,line,overall
016851921,sourcehours-line-sourcebus,Time Driven over Time for Buses,sourcehours,line,sourcebus
016851921,hotelo-map-lower,Hotelling (Engines Off) Mapped by Area,hotelo,map,lower
016851921,ratepop-map-lower,Emissions Rate (per capita) Mapped by Area,ratepop,map,lower
016851921,hotelo-multiline-overall,Hotelling (Engines Off) by Area over Time,hotelo,multiline,overall
016851921,vmt-multiline-sourcetype,Vehicle Miles Traveled by Vehicle Type over Time,vmt,multiline,sourcetype
016851921,idlehours-rank,Areas Ranked by Idling,idlehours,rank,profile
016851921,ratevehicles-rank,Areas Ranked by Emissions Rate (per vehicle),ratevehicles,rank,profile
018012464,ratevehicles-donut-roadtype,Emissions Rate (per vehicle) by Road Type,ratevehicles,donut,roadtype
018012464,sourcehours-donut-overall,Time Driven Overall by Area,sourcehours,donut,overall
018012464,ratevmt-line-sourcebus,Emissions Rate (per mile) over Time for Buses,ratevmt,line,sourcebus
018012464,sourcehours-line-overall,Time Driven Overall over Time,sourcehours,line,overall
018012464,sourcehours-map-lower,Time Driven Mapped by Area,sourcehours,map,lower
018012464,ratepop-map-upper,Emissions Rate (per capita) in My Region,ratepop,map,upper
018012464,starts-multiline-regclass,Vehicle Starts by Regulatory Class over Time,starts,multiline,regclass
018012464,hotelo-multiline-fueltype,Hotelling (Engines Off) by Fuel Type over Time,hotelo,multiline,fueltype
018012464,ratevmt-rank,Areas Ranked by Emissions Rate (per mile),ratevmt,rank,profile
018012464,sourcehours-rank,Areas Ranked by Time Driven,sourcehours,rank,profile
018145960,hoteld-donut-regclass,Hotelling (Diesel Aux) by Regulatory Class,hoteld,donut,regclass
018145960,ratevmt-donut-fueltype,Emissions Rate (per mile) by Fuel Type,ratevmt,donut,fueltype
018145960,sourcehours-line-sourcecar,Time Driven over Time for Passenger Time Driven,sourcehours,line,sourcecar
018145960,hotelo-line-overall,Hotelling (Engines Off) Overall over Time,hotelo,line,overall
018145960,ratevmt-map-upper,Emissions Rate (per mile) in My Region,ratevmt,map,upper
018145960,vmt-map-lower,Vehicle Miles Traveled Mapped by Area,vmt,map,lower
018145960,starts-multiline-fueltype,Vehicle Starts by Fuel Type over Time,starts,multiline,fueltype
018145960,hotelo-multiline-fueltype,Hotelling (Engines Off) by Fuel Type over Time,hotelo,multiline,fueltype
018145960,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
018145960,pop-rank,Areas Ranked by Population,pop,rank,profile
018566605,hotelo-donut-roadtype,Hotelling (Engines Off) by Road Type,hotelo,donut,roadtype
018566605,ratepop-donut-overall,Emissions Rate (per capita) Overall by Area,ratepop,donut,overall
018566605,sourcehours-line-overall,Time Driven Overall over Time,sourcehours,line,overall
018566605,ratevehicles-line-sourcebus,Emissions Rate (per vehicle) over Time for Buses,ratevehicles,line,sourcebus
018566605,emissions-map-upper,Emissions in My Region,emissions,map,upper
018566605,pop-map-upper,Population in My Region,pop,map,upper
018566605,idlehours-multiline-fueltype,Idling by Fuel Type over Time,idlehours,multiline,fueltype
018566605,starts-multiline-sourcetype,Vehicle Starts by Vehicle Type over Time,starts,multiline,sourcetype
018566605,pop-rank,Areas Ranked by Population,pop,rank,profile
018566605,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
021923668,ratepop-donut-fueltype,Emissions Rate (per capita) by Fuel Type,ratepop,donut,fueltype
021923668,ratepop-donut-sourcetype,Emissions Rate (per capita) by Vehicle Type,ratepop,donut,sourcetype
021923668,emissions-line-sourcecar,Emissions over Time for Passenger Vehicles,emissions,line,sourcecar
021923668,emissions-line-sourcebus,Emissions over Time for Buses,emissions,line,sourcebus
021923668,sourcehours-map-upper,Time Driven in My Region,sourcehours,map,upper
021923668,starts-map-upper,Vehicle Starts in My Region,starts,map,upper
021923668,starts-multiline-overall,Vehicle Starts by Area over Time,starts,multiline,overall
021923668,ratevehicles-multiline-overall,Emissions Rate (per vehicle) by Area over Time,ratevehicles,multiline,overall
021923668,hotelo-rank,Areas Ranked by Hotelling (Engines Off),hotelo,rank,profile
021923668,pop-rank,Areas Ranked by Population,pop,rank,profile
024535903,emissions-donut-regclass,Emissions by Regulatory Class,emissions,donut,regclass
024535903,ratevmt-donut-overall,Emissions Rate (per mile) Overall by Area,ratevmt,donut,overall
024535903,starts-line-sourcecar,Vehicle Starts over Time for Passenger Vehicle Starts,starts,line,sourcecar
024535903,vmt-line-sourcebus,Vehicle Miles Traveled over Time for Buses,vmt,line,sourcebus
024535903,vmt-map-upper,Vehicle Miles Traveled in My Region,vmt,map,upper
024535903,ratevmt-map-lower,Emissions Rate (per mile) Mapped by Area,ratevmt,map,lower
024535903,ratevmt-multiline-overall,Emissions Rate (per mile) by Area over Time,ratevmt,multiline,overall
024535903,ratevehicles-multiline-regclass,Emissions Rate (per vehicle) by Regulatory Class over Time,ratevehicles,multiline,regclass
024535903,starts-rank,Areas Ranked by Vehicle Starts,starts,rank,profile
024535903,pop-rank,Areas Ranked by Population,pop,rank,profile
026083862,hotelo-donut-overall,Hotelling (Engines Off) Overall by Area,hotelo,donut,overall
026083862,ratepop-donut-fueltype,Emissions Rate (per capita) by Fuel Type,ratepop,donut,fueltype
026083862,ratepop-line-overall,Emissions Rate (per capita) Overall over Time,ratepop,line,overall
026083862,ratevehicles-line-sourcecar,Emissions Rate (per vehicle) over Time for Passenger Vehicles,ratevehicles,line,sourcecar
026083862,vehicles-map-lower,Vehicles Mapped by Area,vehicles,map,lower
026083862,ratevmt-map-lower,Emissions Rate (per mile) Mapped by Area,ratevmt,map,lower
026083862,ratevmt-multiline-roadtype,Emissions Rate (per mile) by Road Type over Time,ratevmt,multiline,roadtype
026083862,vehicles-multiline-fueltype,Vehicles by Fuel Type over Time,vehicles,multiline,fueltype
026083862,emissions-rank,Areas Ranked by Emissions,emissions,rank,profile
026083862,ratevehicles-rank,Areas Ranked by Emissions Rate (per vehicle),ratevehicles,rank,profile
